country,time,LCI_pct_change
Austria,2001-03-31,5.4
Austria,2018-12-31,4.5
Austria,2019-03-31,-6.4
Austria,2019-06-30,-3.0
Austria,2019-09-30,9.3
Austria,2019-12-31,-6.3
Austria,2020-03-31,6.3
Austria,2020-06-30,25.9
Austria,2020-09-30,-0.6
Austria,2020-12-31,13.9
Austria,2018-09-30,2.3
Austria,2021-03-31,12.1
Austria,2021-09-30,1.6
Austria,2021-12-31,5.9
Austria,2022-03-31,1.9
Austria,2022-06-30,16.2
Austria,2022-09-30,13.6
Austria,2022-12-31,7.8
Austria,2023-03-31,-1.1
Austria,2023-06-30,6.8
Austria,2023-09-30,6.3
Austria,2021-06-30,-13.1
Austria,2018-06-30,1.3
Austria,2018-03-31,11.5
Austria,2017-12-31,6.1
Austria,2012-09-30,8.3
Austria,2012-12-31,8.0
Austria,2013-03-31,4.8
Austria,2013-06-30,10.7
Austria,2013-09-30,9.2
Austria,2013-12-31,-1.8
Austria,2014-03-31,-0.3
Austria,2014-06-30,-0.7
Austria,2014-09-30,-1.8
Austria,2014-12-31,6.8
Austria,2015-03-31,4.0
Austria,2015-06-30,6.8
Austria,2015-09-30,4.2
Austria,2015-12-31,3.5
Austria,2016-03-31,1.6
Austria,2016-06-30,-4.0
Austria,2016-09-30,8.0
Austria,2016-12-31,-0.3
Austria,2017-03-31,2.6
Austria,2017-06-30,8.0
Austria,2017-09-30,-3.5
Austria,2023-12-31,6.8
Austria,2012-06-30,3.0
Austria,2024-03-31,12.3
Austria,2024-09-30,10.7
Austria,2019-06-30,4.4
Austria,2019-03-31,1.9
Austria,2018-12-31,3.1
Austria,2018-09-30,3.2
Austria,2018-06-30,3.2
Austria,2018-03-31,4.7
Austria,2017-12-31,3.5
Austria,2017-09-30,6.0
Austria,2017-06-30,6.8
Austria,2019-09-30,1.9
Austria,2017-03-31,1.4
Austria,2016-09-30,2.2
Austria,2016-06-30,-1.0
Austria,2016-03-31,1.1
Austria,2015-12-31,5.9
Austria,2015-09-30,1.4
Austria,2015-06-30,2.2
Austria,2015-03-31,5.0
Austria,2014-12-31,2.4
Austria,2014-09-30,0.1
Austria,2016-12-31,0.1
Austria,2019-12-31,1.1
Austria,2020-03-31,10.6
Austria,2020-06-30,6.7
Austria,2024-12-31,6.8
Austria,2025-03-31,14.8
Austria,2025-03-31,5.3
Austria,2024-12-31,6.5
Austria,2024-09-30,10.5
Austria,2024-06-30,7.8
Austria,2024-03-31,10.5
Austria,2023-12-31,9.7
Austria,2023-09-30,7.1
