index date   ,name,CPI ALL ITEMS,FOOD AND NON-ALCOHOLIC BEVERAGES,FOOD,BREAD & CEREALS,MEAT,FISH,"MILK, CHEESE & EGGS",OILS & FATS,FRUIT,VEGETABLES INCLUDING POTATOES AND TUBERS,"SUGAR, JAM, SYRUPS, CHOCOLATE AND CONFECTIONERY",FOOD PRODUCTS (NEC),NON-ALCOHOLIC BEVERAGES,"COFFEE, TEA & COCOA","MINERAL WATERS, SOFT DRINKS AND JUICES",ALCOHOLIC BEVERAGES AND TOBACCO,ALCOHOLIC BEVERAGES,SPIRITS,WINE,BEER,TOBACCO,CLOTHING AND FOOTWEAR,CLOTHING,GARMENTS,OTHER CLOTHING & CLOTHING ACCESSORIES,"CLEANING, REPAIR AND HIRE OF CLOTHING",FOOTWEAR INCLUDING REPAIRS,"HOUSING, WATER, ELELCTRICITY, GAS AND OTHER FUELS",ACTUAL RENTALS FOR HOUSING,REGULAR MAINTENANCE AND REPAIR OF THE DWELLING,MATERIALS FOR MAINTENANCE AND REPAIR,SERVICES FOR MAINTENANCE AND REPAIR,WATER SUPPLY AND MISC. SERVICES FOR THE DWELLING,WATER SUPPLY,SEWERAGE COLLECTION,"ELECTRICITY, GAS AND OTHER FUELS",ELECTRICITY,GAS,LIQUID FUELS,SOLID FUELS,"FURNITURE, HOUSEHOLD EQUIPMENT AND MAINTENANCE","FURNITURE, FURNISHINGS & CARPETS",FURNITURE & FURNISHINGS,CARPETS & OTHER FLOOR COVERINGS,HOUSEHOLD TEXTILES,"HOUSEHOLD APPLIANCES, FITTING AND REPAIRS",MAJOR APPLIANCES AND SMALL ELECTRIC GOODS,REPAIR OF HOUSEHOLD APPLIANCES,"GLASSWARE, TABLEWARE & HOUSEHOLD UTENSILS",TOOLS AND EQUIPMENT FOR HOUSE AND GARDEN,GOODS AND SERVICES FOR ROUTINE MAINTENANCE,NON-DURABLE HOUSEHOLD GOODS,DOMESTIC SERVICES AND HOUSEHOLD SERVICES,HEALTH,"MEDICAL PRODUCTS, APPLIANCES AND EQUIPMENT",PHARMACEUTICAL PRODUCTS,OTHER MEDICAL & THERAPEUTIC EQUIPMENT,OUT-PATIENT SERVICES,MEDICAL SERVICES AND PARAMEDICAL SERVICES,DENTAL SERVICES,HOSPITAL SERVICES,TRANSPORT,PURCHASE OF VEHICLES,MOTOR CYCLES AND BICYCLES,NEW CARS,SECOND-HAND CARS,OPERATION OF PERSONAL TRANSPORT EQUIPMENT,SPARE PARTS & ACCESSORIES,FUELS & LUBRICANTS,MAINTENANCE & REPAIRS,OTHER SERVICES IN RESPECT OF PERSONAL TRANSPORT EQ,TRANSPORT SERVICES,PASSENGER TRANSPORT BY RAILWAY,PASSENGER TRANSPORT BY ROAD,PASSENGER TRANSPORT BY AIR,PASSENGER TRANSPORT BY SEA AND INLAND WATERWAY,COMMUNICATION,POSTAL SERVICES,TELEPHONE AND TELEFAX EQUIPMENT AND SERVICES,RECREATION & CULTURE,AUDIO-VISUAL EQUIPMENT AND RELATED PRODUCTS,RECEPTION AND REPRODUCTION OF SOUND AND PICTURES,PHOTOGRAPHIC AND CINE. EQU. & OPTICAL INSTRUMENTS,DATA PROCESSING EQUIPMENT,RECORDING MEDIA,REPAIR OF AUDIO-VISUAL & RELATED PRODUCTS,OTHER MAJOR DURABLES FOR RECREATION AND CULTURE,MAJOR DURABLES FOR IN/OUTDOOR RECREATION,"OTHER RECREATIONAL ITEMS, GARDENS & PETS",GAMES TOYS AND HOBBIES,EQUIPMENT FOR SPORT & OPEN-AIR RECREATION,GARDEN PLANTS AND FLOWERS,"PETS, RELATED PRODUCTS AND SERVICES",RECREATIONAL AND CULTURAL SERVICES,RECREATIONAL AND SPORTING SERVICES,CULTURAL SERVICES,"BOOKS, NEWSPAPERS AND STATIONERY",BOOKS,NEWSPAPERS AND PERIODICALS,"MISC. PRINTED MATTER, STATIONERY, DRAWING MATERIALS",PACKAGE HOLIDAY,EDUCATION,RESTAURANTS AND HOTELS,CATERING SERVICES,RESTAURANTS & CAFES,CANTEENS,ACCOMMODATION SERVICES,MISCELLANEOUS GOODS AND SERVICES,PERSONAL CARE,HAIRDRESSING & PERSONAL GROOMING ESTABLISHMENTS,APPLIANCES & PRODUCTS FOR PERSONAL CARE,PERSONAL EFFECTS (NEC),JEWELLERY CLOCKS AND WATCHES,OTHER PERSONAL EFFECTS,SOCIAL PROTECTION,INSURANCE,HOUSE CONTENTS INSURANCE,HEALTH INSURANCE,TRANSPORT INSURANCE,FINANCIAL SERVICES (NEC),OTHER FINANCIAL SERVICES (NEC),OTHER SERVICES (NEC),Unnamed: 124,All Goods,"Food, Alcoholic Beverages & Tobacco",Processed Food & Non-Alcoholic Beverages,Non-processed Food,Seasonal Food,Clothing & Footwear Goods,Housing Goods,Household goods,Water supply; materials for maintenance/repair,Energy,"Electricity, Gas & Misc. Energy","Liquid Fuels, Vehicle Fuels & Lubricants","Medical products, appliances and equipment","Vehicles, spare parts and accessories",Recreational Goods,Miscellaneous Goods,All Services,Housing Services,Primary Housing Services,Other Housing Services,Medical Services,Travel & Transport Services,Services for Personal Transport Equipment,Recreation & Personal Services,Package Holidays & Accommodation,Other Recreational & Personal Services,Non-Catering Recreational & Personal Services,Miscellaneous Services,Audio-Visual Goods,Other Recreational Goods,CPI excluding Energy,"CPI excluding Energy, Food, Alcohol & Tobacco",CPI excluding Seasonal Food,CPI excluding Energy & Seasonal Food,"CPI excluding Liquid Fuels, Vehicle Fuels & Lubricants",CPI excluding Energy & Non-processed Food,CPI excluding Alcohol & Tobacco,"CPI excluding Housing, Water, Electricity, Gas & Other Fuels","CPI excluding Education, Health & Social Protection",Non-Seasonal Food,Non-Energy Industrial Goods,Durables,Semi-Durables,Non-Durables,"Energy, Food, Alcohol & Tobacco",Energy & Non-processed Food,Energy & Seasonal Food,"Education, Health & Social Protection",CPI excluding tobacco,Industrial Goods,Miscellaneous and Other Services
198801.0,1988-01-01 00:00:00,48.395,48.004,48.226,50.053,53.741,43.321,48.488,45.461,49.436,53.122,37.708,55.29,45.506,51.268,43.126,27.301,54.283,50.806,51.86,65.694,16.299,192.477,201.22,221.258,100.311,33.953,153.451,31.675,31.135,39.601,51.025,31.517,21.583,21.168,22.316,29.253,33.084,25.163,32.982,31.613,68.911,62.345,66.671,51.11,119.687,108.122,122.275,..,81.389,69.357,41.075,56.961,29.814,37.88,51.771,53.642,..,..,..,..,..,40.481,87.76,64.207,..,126.807,29.199,53.239,30.397,24.76,30.367,22.499,27.727,29.43,..,..,98.061,25.432,109.683,73.734,745.024,992.324,2086.335,..,139.696,..,..,..,93.044,151.701,..,73.723,43.622,32.875,29.616,35.038,37.434,42.221,29.129,48.029,..,12.344,32.863,33.112,33.257,30.55,..,45.339,50.273,29.29,62.024,68.098,57.272,96.977,..,21.301,51.859,..,15.745,95.434,95.434,30.016,,64.471,40.476,46.318,50.862,49.066,200.432,65.577,74.652,38.596,29.216,29.011,30.424,51.772,82.732,132.701,65.193,31.506,30.525,29.168,30.104,..,23.189,25.901,32.777,..,32.888,32.298,39.33,853.223,63.286,50.412,52.937,48.347,50.423,49.47,50.235,50.114,51.304,49.945,48.314,99.376,114.318,138.376,48.751,36.743,37.009,33.856,22.302,50.142,79.03,26.499
198802.0,1988-02-01 00:00:00,48.551,48.275,48.481,50.353,53.386,43.67,48.523,45.921,50.905,54.709,37.637,55.152,45.931,51.444,43.727,27.404,54.705,51.108,52.254,66.425,16.319,193.696,202.602,222.922,100.408,34.158,154.142,31.686,31.16,39.819,51.353,31.64,21.583,21.168,22.316,29.19,33.084,25.163,31.374,31.686,69.282,62.756,67.034,51.698,121.064,108.355,122.539,..,81.774,69.706,41.278,57.24,29.981,37.936,51.847,53.721,..,..,..,..,..,40.461,87.478,64.306,..,126.363,29.212,54.781,30.111,24.996,30.49,22.619,27.727,29.692,..,..,98.049,25.432,109.669,73.944,742.884,989.685,2081.077,..,139.227,..,..,..,93.566,152.819,..,74.273,43.744,32.888,29.627,35.051,37.809,42.643,29.421,48.509,..,12.348,33.018,33.267,33.412,30.697,..,45.524,50.45,29.473,62.157,68.251,57.401,97.196,..,21.301,51.859,..,15.745,95.491,95.491,30.358,,64.668,40.685,46.474,51.3,50.357,201.703,65.927,75.054,38.797,29.069,29.018,30.055,51.848,82.774,133.203,65.336,31.622,30.567,29.24,30.272,..,23.332,26.105,32.91,..,33.022,32.362,39.732,850.772,63.77,50.622,53.138,48.46,50.586,49.664,50.423,50.274,51.493,50.108,48.284,99.765,114.255,139.398,49.0,36.824,37.043,33.966,22.318,50.308,79.181,26.639
198803.0,1988-03-01 00:00:00,48.717,48.424,48.622,50.311,53.721,43.13,48.551,46.108,50.65,55.269,37.856,55.116,46.16,51.42,44.127,27.473,55.046,51.567,52.462,66.933,16.322,195.286,204.144,224.736,100.74,34.341,155.722,31.681,31.183,39.922,51.524,31.681,21.583,21.168,22.316,29.135,33.084,25.163,30.139,31.662,69.82,63.685,68.062,52.345,122.279,108.813,123.056,..,82.138,69.909,41.466,57.468,30.322,38.47,52.577,54.477,..,..,..,..,..,40.705,88.514,64.859,..,127.885,29.272,55.018,30.132,25.124,30.504,22.619,27.727,29.692,..,..,98.055,25.432,109.676,73.972,740.871,983.969,2085.896,..,139.476,..,..,..,93.723,153.024,..,74.676,43.742,32.949,29.682,35.117,37.839,42.677,29.444,48.548,..,12.349,33.107,33.357,33.503,30.784,..,45.553,50.572,29.597,62.253,67.899,57.105,96.694,..,21.301,51.859,..,15.745,95.66,95.66,30.485,,64.926,40.804,46.561,51.54,50.503,203.373,66.363,75.633,38.901,29.044,29.015,29.998,52.578,83.681,133.178,65.249,31.685,30.596,29.263,30.617,..,23.373,26.202,32.998,..,33.111,32.446,39.887,848.466,63.851,50.82,53.365,48.627,50.785,49.846,50.616,50.449,51.697,50.278,48.425,100.376,115.203,140.239,49.14,36.892,37.102,33.971,22.432,50.487,79.543,26.692
198804.0,1988-04-01 00:00:00,49.28,48.693,48.874,50.548,53.736,43.151,48.861,46.249,51.559,55.704,38.021,55.874,46.593,51.497,44.806,27.863,55.665,51.922,53.03,68.229,16.585,195.647,204.462,225.033,100.944,34.583,156.166,32.527,32.915,40.157,51.67,32.034,23.167,22.493,24.195,29.5,33.653,25.449,30.154,31.66,70.147,64.093,68.624,52.271,122.613,109.295,123.602,..,82.674,69.708,41.67,57.76,30.408,38.664,52.842,54.752,..,..,..,..,..,41.222,89.874,65.331,..,129.914,29.671,55.216,30.715,25.325,30.623,22.624,27.727,29.704,..,..,98.053,25.432,109.673,75.307,747.426,988.087,2277.109,..,139.029,..,..,..,93.665,153.602,..,74.283,43.636,34.694,31.254,36.976,38.056,42.922,29.613,48.827,..,12.36,33.518,33.771,33.914,31.211,..,45.824,50.957,30.015,62.523,67.914,57.117,96.715,..,21.429,51.859,..,15.902,95.621,95.621,30.795,,65.459,41.125,46.859,51.769,50.966,203.723,66.811,75.989,39.451,29.487,29.395,30.542,52.843,84.85,133.806,65.417,32.312,32.015,30.081,30.704,..,23.465,26.38,33.633,..,33.748,33.799,40.246,855.973,64.001,51.386,54.027,49.193,51.355,50.407,51.213,51.022,52.174,50.865,48.62,101.023,116.535,140.521,49.43,37.26,37.49,34.433,22.486,51.061,80.21,26.825
198805.0,1988-05-01 00:00:00,49.529,48.82,48.954,50.97,54.186,42.799,48.77,46.346,51.643,54.801,38.065,56.559,47.181,51.365,45.884,27.97,55.873,51.993,53.309,68.47,16.649,198.418,208.014,229.469,100.881,34.726,156.664,32.801,32.975,40.325,51.888,32.167,23.189,22.536,24.195,29.956,34.553,25.908,30.364,30.189,70.48,64.454,69.042,52.467,122.948,109.979,124.376,..,83.177,69.929,41.752,57.874,30.464,38.793,53.019,54.935,..,..,..,..,..,41.366,90.365,65.779,..,130.611,29.667,55.21,30.659,25.418,30.69,22.842,27.934,30.031,..,..,98.044,25.432,109.662,75.602,746.485,985.894,2280.364,..,139.002,..,..,..,94.318,153.747,..,75.804,43.876,34.788,31.339,37.077,38.378,43.285,29.864,49.24,..,12.365,33.662,33.917,34.065,31.296,..,45.993,51.119,30.106,62.726,68.018,57.204,96.863,..,21.497,52.066,..,15.945,95.674,95.674,31.078,,65.827,41.246,47.096,51.739,50.426,206.658,67.117,76.353,39.599,29.739,29.86,30.503,53.02,85.258,134.395,65.581,32.432,32.085,30.173,30.76,..,23.609,26.465,33.766,..,33.881,33.896,40.578,854.896,64.492,51.625,54.316,49.472,51.629,50.676,51.478,51.285,52.41,51.125,48.873,101.697,117.061,141.845,49.698,37.43,37.661,34.55,22.519,51.322,80.779,26.943
198806.0,1988-06-01 00:00:00,49.73,48.901,48.991,51.04,54.685,42.942,48.588,46.244,54.255,53.125,38.04,56.659,47.701,52.306,46.143,27.982,55.986,52.085,53.392,68.718,16.639,199.064,208.866,230.491,101.005,34.802,156.718,33.125,33.136,40.415,51.989,32.253,23.189,22.536,24.195,30.483,35.426,26.366,29.879,29.974,70.635,64.623,69.271,52.447,123.086,109.833,124.21,..,83.195,70.299,42.073,58.291,30.876,38.889,53.15,55.071,..,..,..,..,..,41.731,91.41,65.926,..,132.196,29.916,55.368,30.956,25.678,30.809,22.859,27.934,30.069,..,..,98.034,25.432,109.649,75.551,742.782,977.916,2259.25,..,139.291,..,..,..,94.526,154.055,..,76.162,43.918,34.788,31.339,37.077,38.391,43.3,29.874,49.256,..,12.377,33.777,34.033,34.185,31.367,..,46.158,51.351,30.234,63.019,68.107,57.279,96.99,..,21.497,52.066,..,15.945,96.6,96.6,31.248,,66.118,41.3,47.146,51.867,50.162,207.337,67.247,76.509,39.661,30.17,30.432,30.749,53.151,86.158,134.266,65.794,32.533,32.216,30.223,31.176,..,23.709,26.686,33.863,..,33.978,33.932,40.819,850.655,64.577,51.773,54.503,49.69,51.795,50.872,51.627,51.506,52.575,51.334,48.994,102.074,117.684,142.222,49.844,37.623,38.008,34.869,22.553,51.54,81.273,27.036
198807.0,1988-07-01 00:00:00,49.72,48.47,48.476,51.199,54.403,42.778,48.587,46.512,54.158,48.895,37.998,57.45,48.111,53.133,46.294,27.981,56.047,52.24,53.44,68.625,16.626,195.602,204.423,224.955,100.822,34.832,156.106,33.375,33.238,40.726,52.532,32.351,23.189,22.536,24.195,30.824,35.929,26.652,30.285,29.821,70.549,64.231,68.715,52.572,121.782,108.889,123.143,..,83.591,70.399,42.814,59.377,31.051,38.964,53.253,55.177,..,..,..,..,..,41.98,92.189,65.846,..,133.401,30.012,55.353,31.018,25.906,30.907,23.009,27.934,30.397,..,..,98.024,25.432,109.637,75.653,739.456,968.251,2265.53,..,139.789,..,..,..,95.065,155.917,..,75.65,44.198,34.75,31.305,37.036,38.65,43.592,30.076,49.589,..,12.375,33.879,34.135,34.292,31.406,..,46.633,51.681,30.336,63.522,68.703,57.78,97.839,..,22.491,54.918,..,16.592,96.544,96.544,31.354,,66.003,41.034,47.308,50.584,47.785,203.639,67.302,76.409,39.994,30.398,30.769,30.833,53.254,86.805,134.579,66.34,32.649,32.368,30.48,31.353,..,23.928,26.878,33.94,..,34.056,33.931,40.94,846.846,64.978,51.716,54.556,49.77,51.841,50.856,51.689,51.495,52.5,51.323,48.992,101.958,117.881,140.935,50.241,37.534,37.763,34.63,22.566,51.531,81.34,27.075
198808.0,1988-08-01 00:00:00,49.88,48.695,48.688,51.212,54.712,42.502,49.455,47.122,52.08,49.51,38.097,57.68,48.471,53.161,46.882,28.008,56.098,52.291,53.507,68.618,16.643,195.805,204.274,224.818,100.504,34.935,157.212,33.364,33.221,40.876,52.725,32.471,23.189,22.536,24.195,30.764,35.929,26.652,29.086,29.735,70.862,64.378,68.665,53.365,122.14,109.281,123.586,..,84.19,70.784,43.134,59.814,31.324,39.202,53.578,55.514,..,..,..,..,..,42.148,92.929,65.793,..,134.542,29.991,55.44,30.978,25.849,31.014,23.155,27.934,30.715,..,..,98.006,25.432,109.615,75.834,739.72,969.243,2256.037,..,139.84,..,..,..,95.383,156.693,..,75.502,44.404,34.84,31.386,37.133,38.785,43.744,30.181,49.762,..,12.392,34.109,34.366,34.546,31.384,..,46.848,51.897,30.482,63.767,68.945,57.984,98.184,..,22.491,54.918,..,16.592,96.168,96.168,31.712,,66.196,41.184,47.655,50.638,47.571,203.841,67.575,76.744,40.112,30.347,30.761,30.72,53.578,87.437,134.89,66.587,32.779,32.383,30.549,31.629,..,23.992,26.864,34.14,..,34.257,34.036,41.34,847.148,65.199,51.913,54.766,49.945,52.055,51.036,51.899,51.669,52.699,51.489,49.324,102.341,118.51,141.238,50.439,37.612,37.744,34.547,22.636,51.702,81.545,27.228
198809.0,1988-09-01 00:00:00,50.122,48.876,48.855,51.483,54.874,42.837,49.56,47.904,50.993,50.2,38.222,57.273,48.784,53.352,47.283,28.056,56.23,52.336,53.643,68.905,16.665,198.566,207.578,228.781,101.169,35.051,158.323,33.434,33.294,40.953,52.763,32.596,23.189,22.536,24.195,30.839,35.929,26.652,28.022,31.073,71.412,65.03,69.332,54.0,122.938,110.219,124.647,..,84.664,70.932,43.449,60.292,31.293,39.298,53.709,55.65,..,..,..,..,..,42.26,93.374,66.195,..,135.176,30.024,55.515,30.912,26.048,31.232,23.166,27.934,30.738,..,..,98.594,26.925,109.631,75.789,732.53,955.231,2235.32,..,139.673,..,..,..,95.545,157.32,..,75.635,44.374,34.974,31.506,37.275,38.857,43.825,30.236,49.854,..,13.117,34.351,34.611,34.79,31.623,..,47.002,52.132,30.695,63.977,69.051,58.073,98.334,..,22.491,54.918,..,16.592,96.428,96.428,31.849,,66.467,41.314,47.847,50.806,47.749,206.769,67.999,77.348,40.135,30.367,30.885,30.592,53.71,87.822,134.572,66.757,32.999,32.454,30.621,31.597,..,24.081,27.065,34.362,..,34.479,34.189,41.511,838.915,65.314,52.19,55.104,50.189,52.336,51.304,52.186,51.932,52.978,51.715,49.49,102.926,118.954,142.583,50.564,37.704,37.811,34.597,23.498,51.96,81.918,28.064
198810.0,1988-10-01 00:00:00,50.347,48.95,48.926,51.609,54.603,42.555,49.834,48.293,50.048,50.88,38.317,57.76,48.89,53.405,47.428,28.155,56.35,52.454,53.778,68.974,16.738,202.509,211.586,233.1,104.027,35.237,161.767,33.556,33.587,41.086,52.837,32.803,23.189,22.536,24.195,30.874,35.929,26.652,28.339,31.319,71.606,65.262,69.611,54.091,123.29,110.443,124.9,..,84.515,71.112,43.695,60.619,31.559,39.555,54.06,56.013,..,..,..,..,..,42.357,93.813,67.042,..,135.747,30.015,55.542,30.845,26.109,31.383,23.233,27.934,30.885,..,..,98.569,26.925,109.6,76.065,734.185,956.065,2263.005,..,139.959,..,..,..,95.9,156.812,..,76.894,44.532,34.962,31.495,37.262,39.266,44.286,30.555,50.379,..,13.126,34.548,34.809,34.999,31.698,..,47.168,52.213,30.748,64.07,69.302,58.284,98.692,..,22.808,54.918,..,16.981,96.354,96.354,31.95,,66.763,41.399,48.038,50.713,47.842,210.949,68.155,77.552,40.18,30.362,30.908,30.549,54.06,88.193,135.278,66.916,33.148,32.693,30.741,31.866,..,24.188,27.149,34.516,..,34.634,34.204,41.625,840.81,65.765,52.451,55.442,50.418,52.605,51.547,52.481,52.168,53.222,51.948,49.554,103.693,119.408,144.333,50.818,37.757,37.779,34.61,23.563,52.193,82.389,28.112
